Bird, MEX, ca47276c-8149-4833-ba6f-405b4b5e3b2f, 27, 2672, No update data, 9g3qx2skxz67
Bird, MEX, 8a3932c9-c6e3-4dea-8ab7-fb64ba198716, 65, 8532, No update data, 9g3qx2gvkyzx
Bird, MEX, 5360103f-4a82-43e5-8e93-404f012c7661, 60, 7742, No update data, 9g3qx2g1gjyk
Bird, MEX, ae4a4a0d-29ae-4189-a1e3-6188d45a1bb6, 55, 6952, No update data, 9g3qx2g1fe04
Bird, MEX, 470f3b8c-a155-4677-9e5f-00fb0ae898a8, 100, 14062, No update data, 9g3qx2ty1nfh
Bird, MEX, 0ecc8f6f-3c73-48cf-87d5-c9313c95846a, 60, 8183, No update data, 9g3qx2g1ckm6
Bird, MEX, 1cfeb5da-f808-48fd-a090-adf05270c377, 100, 14863, No update data, 9g3qx2tvfw0n
Bird, MEX, 8aa45d2f-96a2-4917-8df2-b425bdb113dd, 98, 14529, No update data, 9g3qx2ty3vwz
Bird, MEX, d480de46-a760-4ad4-8fc1-7f1ed6330c5f, 58, 7426, No update data, 9g3qx26gy190
Bird, MEX, 042dd301-559d-4df6-8e3b-8a7bd125838c, 97, 14362, No update data, 9g3qx2tye5ws
Bird, MEX, bbacda4c-b831-4127-b3b6-efa96ac68a6e, 54, 7181, No update data, 9g3qx2tzcrmq
Bird, MEX, ed432de5-1245-4d4c-862c-1c442d1de163, 62, 8517, No update data, 9g3qx2hj8hve
Bird, MEX, 035cd50f-e02d-4335-8faf-eaeb79643a9a, 35, 4008, No update data, 9g3qx26fg3s8
Bird, MEX, d59b50aa-3d7b-460e-b0e0-095540a7e0de, 61, 7900, No update data, 9g3qx26feks9
Bird, MEX, f7403d14-8778-423a-9519-6ae56622eb18, 30, 3173, No update data, 9g3qx26ff8bh
Bird, MEX, 6f3742bc-3afd-472c-a60a-4141cb88f2f8, 58, 7849, No update data, 9g3qx2gh89b8
Bird, MEX, bf2193cc-dea5-48bd-97ab-b8ee99ed6f87, 87, 12008, No update data, 9g3qx2hhkp70
Bird, MEX, dfa95489-d2c7-4dfc-b38e-bf6560efa249, 98, 14529, No update data, 9g3qx2wp3t5e
Bird, MEX, 6cc176cc-46ef-423f-a481-9a4246995b54, 72, 9638, No update data, 9g3qx2fuqjp7
Bird, MEX, 0381ed73-b8b1-4f9f-aae4-b61612afa920, 57, 7268, No update data, 9g3qx2jjdwj5
Bird, MEX, 8a763c77-a051-49a6-b521-aab12d1356fc, 99, 14696, No update data, 9g3qx2y01mbq
Bird, MEX, d5f4bf5a-6224-40a3-a97c-c4ecf8b087ee, 93, 13694, No update data, 9g3qx2wpd8b4
Bird, MEX, c93a1da1-691d-40bd-8ee0-133d5d1f6cf6, 99, 14696, No update data, 9g3qx2wpg183
Bird, MEX, 67df6a49-f472-4a36-ac60-0288732f76d4, 100, 14062, No update data, 9g3qx2wpg1w9
Bird, MEX, 497776c5-39e3-47b8-b52a-5987fd0e777f, 54, 6794, No update data, 9g3qx2h5gwzc
Bird, MEX, 8d02ee07-12a9-488e-884a-02de0e3197ec, 48, 5846, No update data, 9g3qx267ws4x
Bird, MEX, 5569351b-da86-4979-8a14-a1067c7cb52b, 98, 14529, No update data, 9g3qx2h51u8w
Bird, MEX, 3bc4be11-d85a-428e-ba9e-d34a21936fd5, 96, 14195, No update data, 9g3qx2h4bq5v
Bird, MEX, 01b11fbc-94c8-48dc-b4aa-574154510abc, 98, 14529, No update data, 9g3qx2h4bugv
Bird, MEX, 316dd82a-8b61-4f98-817e-260c1f31b880, 96, 14195, No update data, 9g3qx2h4bjt9
Bird, MEX, db8c529e-963f-44ed-8db0-67cad8e45071, 100, 14863, No update data, 9g3qx25fzufm
Bird, MEX, ddd36095-c005-4f88-bc2a-64fa6d5a8bc7, 79, 10744, No update data, 9g3qx2h4ubr8
Bird, MEX, 78209f58-6a8f-4a26-a3b0-d66ab1420a36, 97, 14362, No update data, 9g3qx2y20nm8
Bird, MEX, 241c5fc8-7b59-4140-9c2c-69461b597c8c, 99, 13904, No update data, 9g3qx2wr97mv
Bird, MEX, 63a0667b-d991-4556-a860-1c59fde65c46, 98, 14529, No update data, 9g3qx2y28d0f
Bird, MEX, ba43ac1d-65cd-439d-96c6-13f7cfce677b, 100, 14863, No update data, 9g3qx2y2b5jd
Bird, MEX, 69a55863-30b4-4862-802d-1a0b195bfa0d, 99, 14696, No update data, 9g3qx2y235pp
Bird, MEX, 7bd770db-68ee-4409-b445-65fa1d04e4df, 47, 5688, No update data, 9g3qx2y305mx
Bird, MEX, 46daf5a8-0a70-4a6f-ae79-23b44704bc00, 96, 14195, No update data, 9g3qx2wrfdjj
Bird, MEX, 2e806df7-0601-46c2-a156-4762c3aef108, 78, 11189, No update data, 9g3qx2y3d90h
Bird, MEX, 78c6fa08-c4a3-447f-b30a-ff4cc23c31e0, 39, 4676, No update data, 9g3qx2j73gbe
Bird, MEX, 33fa9623-81ec-4853-b4f1-b3d6c50058c8, 45, 5678, No update data, 9g3qx2j6csgt
Bird, MEX, aee57e1f-9b33-4fc8-827f-2e6cb5da3a06, 76, 10270, No update data, 9g3qx2dj8w2t
Bird, MEX, cf99c71b-0836-4611-8b58-097a6931d8d1, 52, 6478, No update data, 9g3qx2623rbk
Bird, MEX, 54f0a39e-be90-477a-b9eb-687f73bf3039, 89, 12324, No update data, 9g3qx2624jes
Bird, MEX, 6d5c116a-e9b7-4be1-a585-6b6b63ee69a5, 85, 11692, No update data, 9g3qx2622u5v
Bird, MEX, f461804c-ca00-4c64-b597-4cfd5d478487, 96, 13430, No update data, 9g3qx34c3pd5
Bird, MEX, eb586e99-e2b2-43a8-b9e4-95a9fb994cf0, 97, 13588, No update data, 9g3qx34c8dqu
Bird, MEX, 97a848fb-7658-4f31-8b43-ad0ade2b5059, 97, 13588, No update data, 9g3qx34c8ggy
Bird, MEX, af202aa8-1c52-4110-9424-604deaaa8996, 99, 13904, No update data, 9g3qx349rh7z
Bird, MEX, fa78f2a4-a61e-4f48-8c80-c145aa5655af, 97, 13588, No update data, 9g3qx34cbbgv
Bird, MEX, f115d5d5-9064-4746-b6d0-f2ba275bf468, 81, 11060, No update data, 9g3qx34f1b8q
Bird, MEX, 21f9dd2e-2d7f-498d-9da7-673253054ded, 100, 14062, No update data, 9g3qx260f4g8
Bird, MEX, 6f84f04d-339c-4ccf-9c5b-825181fa849e, 79, 10744, No update data, 9g3qx29v2nbx
Bird, MEX, 7a7a5026-b63b-47f7-b579-9a9eb71d3eec, 100, 14863, No update data, 9g3qx24psbpw
Bird, MEX, 41ac6b6e-37ef-44da-979d-66c790504466, 100, 14062, No update data, 9g3qx23cncvv
Bird, MEX, 4874b0fd-ada6-49c8-a6d7-6365231a4cce, 99, 14696, No update data, 9g3qx24p00bx
Bird, MEX, 9325f3ab-6b03-4dc6-ac29-b0843d05a055, 87, 12008, No update data, 9g3qx341jsmv
Bird, MEX, ee0e4330-beb4-4c8e-b019-341083b73f2b, 47, 6012, No update data, 9g3qx341t6xy
Bird, MEX, d49e6960-8798-495e-8201-98112c5ddf62, 60, 7742, No update data, 9g3qx34yw4xq
Bird, MEX, 43044bfc-ceb6-4ce0-8b0f-bfa82a1e9f23, 99, 13904, No update data, 9g3qx21wrq2f
Bird, MEX, 68e5b7a9-f469-4320-bdfb-65ea9bb22f10, 100, 14062, No update data, 9g3qx21wweft
Bird, MEX, dd2cca58-1aaf-480b-8093-25d10717e193, 96, 14195, No update data, 9g3qx21wy0r2
Bird, MEX, 63da3376-1319-4d90-826b-e97b58a1183d, 97, 13588, No update data, 9g3qx21wtdjf
Bird, MEX, 0d2663c7-49cf-4138-9feb-5ed7b6143c8f, 79, 11356, No update data, 9g3qx3kd407s
Bird, MEX, 9576e053-4a88-4170-9005-5cc00cd21a4d, 72, 10187, No update data, 9g3qx2r3f3d0
Bird, MEX, 42f65879-1bc3-4d84-96c2-5a32cae52259, 88, 12166, No update data, 9g3qx2918s89
Bird, MEX, 773750c9-b48c-452c-91bd-62657dad9452, 100, 14062, No update data, 9g3qx21my4c0
Bird, MEX, 5704481c-ce9c-4984-b3fe-3309b2bb35c6, 98, 13746, No update data, 9g3qx231nzjw
Bird, MEX, f841c4bc-90d1-49de-a599-1daa3eca04b1, 99, 13904, No update data, 9g3qx28fpk8y
Bird, MEX, d27c6162-2656-4c21-b8d2-16f210d8d32e, 88, 12166, No update data, 9g3qx28cxq8z
Bird, MEX, afd83cfb-b402-4464-ac5a-a442532379b7, 100, 14062, No update data, 9g3qx21mtnhe
Bird, MEX, 66fb0ca9-d980-4b02-8fa0-66d9ae0031fb, 100, 14062, No update data, 9g3qx21mt4ux
Bird, MEX, 2c03e0f5-34c4-4f22-8832-8a7d0c880d38, 100, 14863, No update data, 9g3qx230wd4d
Bird, MEX, bcdaca3f-ff56-4f84-b21a-033f72230a6b, 99, 13904, No update data, 9g3qx28fj2xt
Bird, MEX, 504c9d6e-889a-4412-8654-a3f68a7cadc4, 99, 13904, No update data, 9g3qx28fvrdz
Bird, MEX, 84c58f67-767b-43d3-a648-1760f654ddf2, 29, 3006, No update data, 9g3qx3nspr1p
Bird, MEX, bf956252-d541-4d7d-a779-dcb1d9327ce8, 100, 14062, No update data, 9g3qx2zq8uuh
Bird, MEX, 85b5ec15-83dd-4362-905a-9b4396583619, 100, 14062, No update data, 9g3qx2zqb9x1
Bird, MEX, 85c08534-d42f-4372-921e-8f780aca6702, 100, 14062, No update data, 9g3qx28fsesk
Bird, MEX, 2dc04c41-4482-4115-b69c-f24930a7fb8a, 100, 14062, No update data, 9g3qx28fh8sm
Bird, MEX, 09458811-7896-40fa-9ac1-6186f561896c, 88, 12166, No update data, 9g3qx3kk5wrc
Bird, MEX, 4c739442-f5c6-42d2-b146-ffef2a38a91f, 100, 14062, No update data, 9g3qx21men05
Bird, MEX, eb0a9af9-09bb-4a85-9b1f-37d0512f7ceb, 100, 14062, No update data, 9g3qx28fh5zc
Bird, MEX, fd5a2837-3e18-416e-8a88-19bd4403f0b4, 51, 6320, No update data, 9g3qx2zqd8v5
Bird, MEX, 21fb9d79-bce4-4b19-8b49-5d9d7f29886b, 100, 14062, No update data, 9g3qx2zqge3v
Bird, MEX, 86ec64a2-fe4e-4b0a-9242-2cd4cc94ee4a, 89, 12324, No update data, 9g3qx28g9mjj
Bird, MEX, 270c39fb-f9e7-4950-bdce-db9a6067f1c9, 99, 14696, No update data, 9g3qx2zssx53
Bird, MEX, bdf73438-8d47-40fc-bf01-1bff6bb08fe7, 98, 14529, No update data, 9g3qx21htstc
Bird, MEX, 0a798980-a0ca-4c04-8533-da3a1dcbc92e, 98, 14529, No update data, 9g3qx2zsmmrv
Bird, MEX, e02162db-4e96-43c8-a9f2-46624143c2b4, 99, 14696, No update data, 9g3qx2zstu70
Bird, MEX, 277c32ea-cf96-4c35-a814-7cbd4dbc0c25, 99, 13904, No update data, 9g3qx21hjwvu
Bird, MEX, 4bdf4808-a01f-4f4f-b4fd-d8f5e192cad1, 99, 13904, No update data, 9g3qx21hjwmb
Bird, MEX, 4b3bbe0b-bb51-44d1-9ad7-557e2634e218, 99, 14696, No update data, 9g3qx2ztm5kb
Bird, MEX, 90b4f26d-97a2-497b-8244-1fb9f1ea8687, 60, 8183, No update data, 9g3qx2bf2k5t
Bird, MEX, 7aadc36b-4d78-44ff-ab7a-003ab654269d, 73, 9796, No update data, 9g3qx2pkn013
Bird, MEX, 8d8428e9-90d6-42cd-b265-826edfd1a094, 99, 14696, No update data, 9g3qx2zsryzr
Bird, MEX, 9e1d484b-82f8-4381-a62c-2a2863a4a212, 97, 14362, No update data, 9g3qx20xcwg3
Bird, MEX, def394a3-a092-443a-b6ba-c5621fa758de, 99, 14696, No update data, 9g3qx3pc9c0t
Bird, MEX, e16d5b52-9ca1-47a8-af79-8cf248993a3e, 79, 10744, No update data, 9g3qx2zzwn1k
Bird, MEX, fda6d7e1-606d-461c-abf9-dd9253eea5a9, 62, 8517, No update data, 9g3qx3pbjq6c
Bird, MEX, 94235d68-ce38-4f45-b8d8-544f4a1285f3, 99, 14696, No update data, 9g3qx3pce1qx
Bird, MEX, a6ab387c-c178-4787-8034-3a4f7692d504, 100, 14062, No update data, 9g3qx8bn63rh
Bird, MEX, b1c71a58-cbee-4c5d-abba-5540c32ada14, 100, 14062, No update data, 9g3qx8bn5z0n
Bird, MEX, 594557b2-0a49-4271-b3ef-77ec6e7b8935, 63, 8216, No update data, 9g3qx8bjukwk
Bird, MEX, 79d291b2-69b0-43ec-9896-0d8abf12e3d6, 98, 14529, No update data, 9g3qx3pffdv1
Bird, MEX, b7576de8-8d6e-4d24-89d4-43ccc20e86b6, 99, 10384, No update data, 9g3qx8bnkq25
Bird, MEX, bcd776c2-5216-4152-9cc8-6ad858a8a132, 99, 14696, No update data, 9g3qx3pfer5d
Bird, MEX, 091c405f-6820-4137-9342-f00e6c13d4e2, 98, 14529, No update data, 9g3qx900426h
Bird, MEX, 5df399cc-f0db-4352-af98-42b0243cb1de, 100, 14863, No update data, 9g3qx8bpfc5r
Bird, MEX, 46abce90-bd75-4b92-b165-d46e06a59f39, 71, 9480, No update data, 9g3qx8bnq03q
Bird, MEX, e4802f05-e9d6-45cb-a64b-b9877c85a0a6, 100, 14863, No update data, 9g3qx3pfmtwp
Bird, MEX, 4568dccb-1d47-46a5-b355-738704fd1ab0, 89, 12324, No update data, 9g3qx20qs0w3
Bird, MEX, bcd6df1f-86f5-4284-91d2-18397d23241e, 98, 14529, No update data, 9g3qx20qs0w3
Bird, MEX, d2abcbca-180a-4711-b3eb-a88b7adba4c2, 97, 14362, No update data, 9g3qx20qs0w3
Bird, MEX, bbf0f4f3-34f4-44d6-8cdc-a2caa828a858, 82, 11857, No update data, 9g3qx20qs0w3
Bird, MEX, 7b5ad11d-ad48-4430-818e-5de19fa666b8, 88, 12166, No update data, 9g3qx20qs0w3
Bird, MEX, 32abc7f8-b895-4a02-9e42-be22720f51a2, 76, 10270, No update data, 9g3qx20qs0w3
Bird, MEX, 1ed11453-2cc0-42fc-bf83-b1634471d7a3, 46, 5530, No update data, 9g3qrrzxq6ut
Bird, MEX, 6ea3f822-f297-4b9f-88f6-b29e1ebd742f, 97, 14362, No update data, 9g3qx8bnxwkq
Bird, MEX, 788616d6-9208-418d-8388-f1084bc84ee7, 96, 14195, No update data, 9g3qx900s4en
Bird, MEX, d00c8363-1378-4f6d-a999-7e929c94c014, 19, 1264, No update data, 9g3qx900j4hz
Bird, MEX, 22c0a4fc-5038-407e-b358-c264315749ed, 100, 14062, No update data, 9g3qx900m2fb
Bird, MEX, dbd9bfe2-324c-4c64-a50a-ac74fd5f7ae8, 99, 14696, No update data, 9g3qx8bpwdxw
Bird, MEX, d7ccf8c6-0a0e-4aba-bbf0-717c1cf8f6b7, 74, 10521, No update data, 9g3qx303n86s
Bird, MEX, f269b87e-e85b-449f-95c0-681aca0493c6, 75, 10112, No update data, 9g3qx3r3cvqc
Bird, MEX, f77a1a96-0f11-456b-a1e9-3133c60c3472, 64, 8851, No update data, 9g3qx3r3szru
Bird, MEX, 9d3c5c60-4dc8-468e-a17c-5c6b66851b34, 98, 14529, No update data, 9g3qx8brd24p
Bird, MEX, a09a2b95-b008-4253-8862-36c47e14d2a3, 98, 14529, No update data, 9g3qx2098w8x
Bird, MEX, d98c91fb-00aa-404b-82d7-c7ec1c1d5864, 51, 6320, No update data, 9g3qrrz7mv54
Bird, MEX, 96e69ef8-3fa3-4a9d-802d-66a2466af0d2, 61, 7900, No update data, 9g3qx3r66w8m
Bird, MEX, 618a964d-c267-428a-80b2-917627bae44e, 97, 14362, No update data, 9g3qx2098pm6
Bird, MEX, fd261ac8-0bb0-4a07-b864-034a00ba74f9, 98, 14529, No update data, 9g3qx20m22ex
Bird, MEX, 9c0c4e8f-39c4-46bb-ab59-31a62571b6af, 98, 14529, No update data, 9g3qx20m0dwb
Bird, MEX, d925bbc3-4cb5-46f5-908a-228eb14db61e, 99, 14696, No update data, 9g3qx20jxshp
Bird, MEX, b9e2ff33-aa00-4fc0-8744-f33a9e54896b, 74, 9954, No update data, 9g3qx3r3vkpc
Bird, MEX, 3f5d1e14-2abf-4450-b3a3-c1faddeada17, 100, 14062, No update data, 9g3qx9023cwy
Bird, MEX, a27c268c-c081-48c0-a44a-11f2b35a6e34, 97, 14362, No update data, 9g3qx2092n8s
Bird, MEX, 0cdfd437-d38b-4028-8876-59013b326a95, 96, 14195, No update data, 9g3qx2090g5u
Bird, MEX, 8ffa5a2d-e96a-4487-9532-78c71bf15584, 100, 14062, No update data, 9g3qrre9e5we
Bird, MEX, 2ad49c35-0948-47ef-ba26-a3670c6f620b, 98, 14529, No update data, 9g3qx20jynrr
Bird, MEX, cdfe60ad-148d-47a9-8d80-60c74a90f219, 98, 14529, No update data, 9g3qx20kbn0m
Bird, MEX, a0d7e56b-e3fb-4e4b-8e9e-1d6077a08da3, 100, 14062, No update data, 9g3qrre9d33v
Bird, MEX, 056c7b09-5886-4692-9f7b-91c5963ebf1a, 98, 14529, No update data, 9g3qx20jqub9
Bird, MEX, 32a41fc6-df80-438c-a835-641ac4218c08, 88, 12166, No update data, 9g3qrrzv84vx
Bird, MEX, cb60115d-829f-477a-9748-ed12db54bf3f, 99, 14696, No update data, 9g3qx20jsg97
Bird, MEX, 30fb4242-e30e-4529-a38b-c76d62f2c81d, 62, 8058, No update data, 9g3qx33kmpse
Bird, MEX, 641bca07-0250-44a0-9960-d3dc9ed1f18f, 97, 14362, No update data, 9g3qx20juh4b
Bird, MEX, 601d82b6-d04f-4d82-ac61-b36d93584c9d, 99, 14696, No update data, 9g3qx20ju1db
Bird, MEX, 256bc330-0080-4f09-a607-3a84f44f99bf, 75, 10112, No update data, 9g3qx32cxy6q
Bird, MEX, 4f35da3d-4e02-4333-b2e5-a724f76790ef, 98, 14529, No update data, 9g3qx20j7rus
Bird, MEX, 9e990e86-a088-47bc-bb5f-db838112d58f, 100, 14062, No update data, 9g3qx902vqg4
Bird, MEX, a283ba1b-d074-409e-8b73-25619fe5918c, 51, 6320, No update data, 9g3qrrc1g5wm
Bird, MEX, 7bd29338-131e-4a47-9758-f99065e6d4fb, 80, 10902, No update data, 9g3qrrc1g0w6
Bird, MEX, 1acfaf02-8a82-4144-964c-c6c7bb75c29c, 83, 11376, No update data, 9g3qrrzvwxzw
Bird, MEX, 9e68ac62-5e5a-44d2-9ba8-e33101e08f8a, 62, 8058, No update data, 9g3qx0zuh4fg
Bird, MEX, e1a08218-63a2-40ab-af37-a1b6bc996651, 74, 9954, No update data, 9g3qrr9teqhd
Bird, MEX, bbddcd29-395e-49d0-8458-8a342b3a77dd, 42, 5177, No update data, 9g3qx3tgfz5m
Bird, MEX, b6e0b502-f16a-4d1d-ada5-2025d875c867, 49, 6004, No update data, 9g3qrrz9488k
Bird, MEX, f51e7ec1-b4a8-4166-b665-84331e145047, 81, 11060, No update data, 9g3qx32gt6rt
Bird, MEX, cf16fd66-9688-4fe8-b72d-2d7c86ace9b9, 47, 5688, No update data, 9g3qrrmqbsr1
Bird, MEX, 6ee61a39-8aa7-498a-91d5-0956bcbce03d, 36, 2950, No update data, 9g3qrrkyhv97
Bird, MEX, 29dcbbf0-b2bb-493b-ad81-713ea3182fcc, 74, 10521, No update data, 9g3qrr9eqvms
Bird, MEX, c2a114eb-d94d-4e2c-99ef-c1d97bca1b41, 100, 14863, No update data, 9g3qx90s9bbe
Bird, MEX, cbc4863e-3d13-4094-b792-544f22e6103d, 83, 11376, No update data, 9g3qx399y5p7
Bird, MEX, e719f9a5-3fda-4964-b6e8-c6b69f09f324, 99, 14696, No update data, 9g3qx90mrzde
Bird, MEX, 12f22942-6388-4385-8307-5f63b4eccc74, 100, 14062, No update data, 9g3qx90t0fk0
Bird, MEX, 1ff482f5-497d-4140-8c5f-613ff34dab55, 100, 14062, No update data, 9g3qx90t2us0
Bird, MEX, 16b33ec8-f236-4b3b-a9b4-9ca35d565c9f, 100, 14062, No update data, 9g3qx90t8nmw
Bird, MEX, adf98b91-2483-4c81-ae3a-5bb626ab5bdf, 98, 14529, No update data, 9g3qx90t8pms
Bird, MEX, c1434cb1-8551-499e-ab1e-99204f6805ac, 99, 14696, No update data, 9g3qx90shmbp
Bird, MEX, f23e63b4-f266-44f2-b28a-9f449b125334, 82, 11857, No update data, 9g3qx3u0p7x0
Bird, MEX, 3ec7df91-9d64-45d0-b95d-37bd0a69d95b, 69, 9164, No update data, 9g3qx9227fvn
Bird, MEX, 6b8c01a5-1265-43d0-93a0-619ea2a9959d, 55, 6952, No update data, 9g3qrr9k5120
Bird, MEX, 64882091-c3da-4922-ab1c-005946c410c0, 46, 5845, No update data, 9g3qx3u0m66g
Bird, MEX, 46edcc60-cfe6-4333-a2e5-00320bff34b0, 47, 6012, No update data, 9g3qx3epd5gx
Bird, MEX, b356a606-0392-41bc-9c21-22b5c31d2268, 48, 6179, No update data, 9g3qx3ep9g8t
Bird, MEX, 1aadf93f-3d89-4440-8157-1b0f962a2a1b, 72, 9638, No update data, 9g3qx3ep97vr
Bird, MEX, afb99264-6219-4b39-83cb-b2c29bb9bad8, 94, 13861, No update data, 9g3qrpzzfq3z
Bird, MEX, f17d49c5-1830-4e58-a34d-1dd840990418, 60, 8183, No update data, 9g3qx92h5ecc
Bird, MEX, a80a0e3d-32fb-41be-b5ce-99707bc72d82, 46, 5530, No update data, 9g3qx80fjtyn
Bird, MEX, 0a222351-323c-457c-a14e-2db4ac98e2ef, 53, 7014, No update data, 9g3qrr6ty8dd
Bird, MEX, 07403ecd-9211-4075-b57e-80db125f15fe, 98, 14529, No update data, 9g3qrpzzd5sg
Bird, MEX, ba9af421-4d90-4a12-a5c2-163ee3d73230, 98, 14529, No update data, 9g3qx0pec872
Bird, MEX, c449dad9-bb55-4dc6-8886-5b9a55ff331d, 92, 13527, No update data, 9g3qrpzz6t04
Bird, MEX, d0a37f46-5dfb-47e6-a34f-595fffcaa269, 83, 12024, No update data, 9g3qx92hk2y3
Bird, MEX, 6ac743a3-c57d-4c1d-af18-edb4505a323a, 100, 14062, No update data, 9g3qx90uh324
Bird, MEX, d63a5384-6800-41a2-a928-ad2a392ba621, 100, 14863, No update data, 9g3qx90uh3n2
Bird, MEX, c1e29dd6-5ad3-4029-8506-b56d423a077d, 97, 14362, No update data, 9g3qx0pe2xbs
Bird, MEX, 0755031e-8b3c-4234-9988-fd2bb995f6c0, 90, 13193, No update data, 9g3qrpzz25jr
Bird, MEX, 07f32d5a-8b03-4218-9b60-e5ebb5fee414, 89, 9204, No update data, 9g3qrrmkp234
Bird, MEX, 4e1c2ce5-8634-4baf-b1cd-6343c27ac90a, 97, 14362, No update data, 9g3qx0pd0m58
Bird, MEX, 0c52423a-a46f-4da3-9bf2-f222aa066682, 82, 11857, No update data, 9g3qrrmebpms
Bird, MEX, 603a5bbc-b7ec-4195-8997-81f71a5bc1d2, 83, 12024, No update data, 9g3qrrm7zvx3
Bird, MEX, 135207e3-cdc1-45c2-9620-05bb845955cd, 97, 14362, No update data, 9g3qx0p6pff6
Bird, MEX, 2a5bd37b-1e1d-462d-8c7c-dba54b528c9e, 97, 14362, No update data, 9g3qx0p6w9f2
Bird, MEX, 8c9cf1fc-4275-4ac8-a7a0-a6cd5151f02a, 49, 6004, No update data, 9g3qrrmeb9rp
Bird, MEX, ce1171e6-0c22-417c-a55d-eaafc4b10a04, 99, 14696, No update data, 9g3qx0p90squ
Bird, MEX, c0562087-eaf1-4672-9c9f-f95647255dc5, 65, 9018, No update data, 9g3qrr9828qv
Bird, MEX, e26c615d-d329-47e8-b1f0-73de7cb92643, 64, 8851, No update data, 9g3qrr947hqq
